species,lon,lat
"Trypherus blaisdelli Fender,1960",-90.547361,41.516965
"Trypherus fenderi Brancucci,1985",-83.627642,32.841197
"Trypherus fenderi Brancucci,1985",-90.274001,38.935882
"Trypherus pauperculus Fender,1960",-90.6282,39.1622
"Trypherus pauperculus Fender,1960",-86.771333,39.573507
"Trypherus pauperculus Fender,1960",-82.998918,39.961329
"Trypherus latipennis Germar,1824",-97.291255,37.657852
"Trypherus latipennis Germar,1824",-88.243783,40.122698
"Trypherus latipennis Germar,1824",-88.332894,38.687006
"Trypherus latipennis Germar,1824",-93.928547,39.010715
"Trypherus latipennis Germar,1824",-83.000553,40.304737
"Trypherus latipennis Germar,1824",-82.479105,39.501507
"Trypherus latipennis Germar,1824",-82.982156,39.650113
"Trypherus latipennis Germar,1824",-83.008602,39.772671
"Trypherus latipennis Germar,1824",-84.838244,36.230935
"Trypherus latipennis Germar,1824",-87.695313,30.371029
"Trypherus latipennis Germar,1824",-84.388128,33.74891
"Trypherus latipennis Germar,1824",-84.146018,33.801916
"Trypherus latipennis Germar,1824",-82.761534,35.272468
"Trypherus latipennis Germar,1824",-82.053238,36.133462
"Trypherus latipennis Germar,1824",-81.707139,35.310651
"Trypherus latipennis Germar,1824",-79.110051,37.737504
"Trypherus latipennis Germar,1824",-77.43303,37.538894
"Trypherus latipennis Germar,1824",-77.169389,38.811442
"Trypherus latipennis Germar,1824",-81.097228,37.368663
"Trypherus latipennis Germar,1824",-77.190603,38.893603
"Trypherus latipennis Germar,1824",-77.502207,38.322028
"Trypherus latipennis Germar,1824",-78.868206,37.763676
"Trypherus latipennis Germar,1824",-82.873355,36.747121
"Trypherus latipennis Germar,1824",-76.949316,39.427355
"Trypherus latipennis Germar,1824",-77.032214,40.085231
"Trypherus latipennis Germar,1824",-76.680336,39.056906
"Trypherus latipennis Germar,1824",-76.888456,39.045458
"Trypherus latipennis Germar,1824",-76.821478,38.775278
"Trypherus latipennis Germar,1824",-77.925831,39.999668
"Trypherus latipennis Germar,1824",-76.047642,41.507084
"Trypherus latipennis Germar,1824",-75.345382,41.164317
"Trypherus latipennis Germar,1824",-75.615742,40.78406
"Trypherus latipennis Germar,1824",-76.694858,40.285524
"Trypherus latipennis Germar,1824",-75.095657,40.119194
"Trypherus latipennis Germar,1824",-76.983423,39.800847
"Trypherus latipennis Germar,1824",-74.421421,40.897556
"Trypherus latipennis Germar,1824",-74.230621,40.7607
"Trypherus latipennis Germar,1824",-73.999433,41.291346
"Trypherus frisoni Fender,1960",-93.525536,44.798278
"Trypherus frisoni Fender,1960",-87.973617,40.046878
"Trypherus frisoni Fender,1960",-87.696984,42.055858
"Trypherus frisoni Fender,1960",-82.946138,38.600595
"Trypherus frisoni Fender,1960",-95.238798,38.974866
"Trypherus frisoni Fender,1960",-98.888918,36.433324
"Trypherus frisoni Fender,1960",-97.958579,35.530624
"Trypherus frisoni Fender,1960",-94.773026,36.595178
"Trypherus frisoni Fender,1960",-94.706444,36.185737
"Trypherus frisoni Fender,1960",-98.962544,36.040652
"Trypherus frisoni Fender,1960",-93.624435,41.584168
"Trypherus frisoni Fender,1960",-88.173319,39.489734
"Trypherus frisoni Fender,1960",-89.068355,42.180397
"Trypherus frisoni Fender,1960",-84.245793,43.61574
"Trypherus frisoni Fender,1960",-82.813692,41.544733
"Trypherus frisoni Fender,1960",-86.861717,39.640303
"Trypherus frisoni Fender,1960",-83.979917,37.919729
"Trypherus frisoni Fender,1960",-77.15076,39.082193
"Trypherus frisoni Fender,1960",-82.289382,36.143193
"Trypherus frisoni Fender,1960",-89.433283,36.361595
"Trypherus frisoni Fender,1960",-84.791244,36.315898
"Trypherus frisoni Fender,1960",-91.923242,38.851969
"Trypherus frisoni Fender,1960",-96.567409,39.184989
"Trypherus frisoni Fender,1960",-96.826193,39.298492
